Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,I,
2026-03-19,15:24:03.108855,1773930243.108855,s,48.036928,s,11.37,mV
2026-03-19,15:24:03.359986,1773930243.359986,s,48.288059,s,11.37,mV
2026-03-19,15:24:03.609267,1773930243.609267,s,48.53734,s,13.53,mV
2026-03-19,15:24:03.860491,1773930243.860491,s,48.788564,s,13.53,mV
2026-03-19,15:24:04.109607,1773930244.109607,s,49.03768,s,13.42,mV
2026-03-19,15:24:04.360869,1773930244.360869,s,49.288942,s,13.42,mV
2026-03-19,15:24:04.609962,1773930244.609962,s,49.538035,s,13.42,mV
2026-03-19,15:24:04.861345,1773930244.861345,s,49.789418,s,16.72,mV
2026-03-19,15:24:05.110310,1773930245.11031,s,50.038383,s,16.72,mV
2026-03-19,15:24:05.362025,1773930245.362025,s,50.290098,s,17.21,mV
2026-03-19,15:24:05.610746,1773930245.610746,s,50.538819,s,17.21,mV
2026-03-19,15:24:05.862479,1773930245.862479,s,50.790552,s,17.21,mV
2026-03-19,15:24:06.111158,1773930246.111158,s,51.039231,s,16.04,mV
2026-03-19,15:24:06.362905,1773930246.362905,s,51.290978,s,16.04,mV
2026-03-19,15:24:06.611393,1773930246.611393,s,51.539466,s,13.94,mV
2026-03-19,15:24:06.863367,1773930246.863367,s,51.79144,s,13.94,mV
2026-03-19,15:24:07.111788,1773930247.111788,s,52.039861,s,13.43,mV
2026-03-19,15:24:07.363824,1773930247.363824,s,52.291897,s,13.43,mV
2026-03-19,15:24:07.612022,1773930247.612022,s,52.540095,s,13.43,mV
2026-03-19,15:24:07.864188,1773930247.864188,s,52.792261,s,11.66,mV
2026-03-19,15:24:08.112283,1773930248.112283,s,53.040356,s,11.66,mV
2026-03-19,15:24:08.364608,1773930248.364608,s,53.292681,s,11.66,mV
2026-03-19,15:24:08.612649,1773930248.612649,s,53.540722,s,11.66,mV
2026-03-19,15:24:08.864946,1773930248.864946,s,53.793019,s,12.97,mV
2026-03-19,15:24:09.113109,1773930249.113109,s,54.041182,s,12.97,mV
2026-03-19,15:24:09.365395,1773930249.365395,s,54.293468,s,9.03,mV
2026-03-19,15:24:09.613605,1773930249.613605,s,54.541678,s,9.03,mV
2026-03-19,15:24:09.865799,1773930249.865799,s,54.793872,s,9.03,mV
