Date,Time,Time since 1970-01-01T00:00:00Z,,t,,I,
2026-03-17,15:18:44.864608,1773757124.864608,s,58.543488,s,14.73,mV
2026-03-17,15:18:45.114947,1773757125.114947,s,58.793827,s,14.73,mV
2026-03-17,15:18:45.365035,1773757125.365035,s,59.043915,s,14.73,mV
2026-03-17,15:18:45.615210,1773757125.61521,s,59.29409,s,13.02,mV
2026-03-17,15:18:45.865471,1773757125.865471,s,59.544351,s,13.02,mV
2026-03-17,15:18:46.115478,1773757126.115478,s,59.794358,s,12.37,mV
2026-03-17,15:18:46.365725,1773757126.365725,s,60.044605,s,12.37,mV
2026-03-17,15:18:46.615728,1773757126.615728,s,60.294608,s,12.37,mV
2026-03-17,15:18:46.866169,1773757126.866169,s,60.545049,s,11.71,mV
2026-03-17,15:18:47.116325,1773757127.116325,s,60.795205,s,11.71,mV
2026-03-17,15:18:47.366615,1773757127.366615,s,61.045495,s,11.36,mV
2026-03-17,15:18:47.616782,1773757127.616782,s,61.295662,s,11.36,mV
2026-03-17,15:18:47.866992,1773757127.866992,s,61.545872,s,9.21,mV
2026-03-17,15:18:48.117213,1773757128.117213,s,61.796093,s,9.21,mV
2026-03-17,15:18:48.367397,1773757128.367397,s,62.046277,s,9.21,mV
2026-03-17,15:18:48.617648,1773757128.617648,s,62.296528,s,9.64,mV
2026-03-17,15:18:48.867826,1773757128.867826,s,62.546706,s,9.64,mV
2026-03-17,15:18:49.118086,1773757129.118086,s,62.796966,s,9.67,mV
2026-03-17,15:18:49.368142,1773757129.368142,s,63.047022,s,9.67,mV
2026-03-17,15:18:49.618580,1773757129.61858,s,63.29746,s,9.67,mV
2026-03-17,15:18:49.868565,1773757129.868565,s,63.547445,s,9.67,mV
2026-03-17,15:18:50.118927,1773757130.118927,s,63.797807,s,9.67,mV
2026-03-17,15:18:50.369022,1773757130.369022,s,64.047902,s,11.68,mV
2026-03-17,15:18:50.619373,1773757130.619373,s,64.298253,s,11.68,mV
2026-03-17,15:18:50.869459,1773757130.869459,s,64.548339,s,12.12,mV
2026-03-17,15:18:51.119688,1773757131.119688,s,64.798568,s,12.12,mV
2026-03-17,15:18:51.369757,1773757131.369757,s,65.048637,s,12.88,mV
2026-03-17,15:18:51.619998,1773757131.619998,s,65.298878,s,12.88,mV
2026-03-17,15:18:51.870076,1773757131.870076,s,65.548956,s,12.88,mV
2026-03-17,15:18:52.120230,1773757132.12023,s,65.79911,s,13.02,mV
2026-03-17,15:18:52.370290,1773757132.37029,s,66.04917,s,13.02,mV
2026-03-17,15:18:52.620542,1773757132.620542,s,66.299422,s,13.43,mV
2026-03-17,15:18:52.870514,1773757132.870514,s,66.549394,s,13.43,mV
2026-03-17,15:18:53.120746,1773757133.120746,s,66.799626,s,12.88,mV
2026-03-17,15:18:53.370815,1773757133.370815,s,67.049695,s,12.88,mV
2026-03-17,15:18:53.621223,1773757133.621223,s,67.300103,s,12.88,mV
2026-03-17,15:18:53.871310,1773757133.87131,s,67.55019,s,12.28,mV
2026-03-17,15:18:54.121642,1773757134.121642,s,67.800522,s,12.28,mV
2026-03-17,15:18:54.371745,1773757134.371745,s,68.050625,s,11.83,mV
2026-03-17,15:18:54.622004,1773757134.622004,s,68.300884,s,11.83,mV
2026-03-17,15:18:54.872189,1773757134.872189,s,68.551069,s,11.01,mV
2026-03-17,15:18:55.122326,1773757135.122326,s,68.801206,s,11.01,mV
2026-03-17,15:18:55.372501,1773757135.372501,s,69.051381,s,11.01,mV
2026-03-17,15:18:55.622781,1773757135.622781,s,69.301661,s,11.01,mV
2026-03-17,15:18:55.873022,1773757135.873022,s,69.551902,s,11.01,mV
2026-03-17,15:18:56.123219,1773757136.123219,s,69.802099,s,8.85,mV
2026-03-17,15:18:56.373487,1773757136.373487,s,70.052367,s,8.85,mV
2026-03-17,15:18:56.623541,1773757136.623541,s,70.302421,s,8.85,mV
2026-03-17,15:18:56.873929,1773757136.873929,s,70.552809,s,11.36,mV
2026-03-17,15:18:57.124002,1773757137.124002,s,70.802882,s,11.36,mV
2026-03-17,15:18:57.374470,1773757137.37447,s,71.05335,s,11.36,mV
2026-03-17,15:18:57.624441,1773757137.624441,s,71.303321,s,11.36,mV
2026-03-17,15:18:57.874963,1773757137.874963,s,71.553843,s,12.42,mV
2026-03-17,15:18:58.124813,1773757138.124813,s,71.803693,s,12.42,mV
2026-03-17,15:18:58.375212,1773757138.375212,s,72.054092,s,12.42,mV
2026-03-17,15:18:58.625139,1773757138.625139,s,72.304019,s,13.09,mV
