Date,Time,Time since 1970-01-01T00:00:00Z,,t,,I,
2026-04-16,13:55:15.861141,1776340515.861141,s,72.554653,s,70.9,mV
2026-04-16,13:55:16.122156,1776340516.122156,s,72.815668,s,61.6,mV
2026-04-16,13:55:16.361416,1776340516.361416,s,73.054928,s,61.6,mV
2026-04-16,13:55:16.622671,1776340516.622671,s,73.316183,s,114.3,mV
2026-04-16,13:55:16.861781,1776340516.861781,s,73.555293,s,114.3,mV
2026-04-16,13:55:17.123118,1776340517.123118,s,73.81663,s,229.0,mV
2026-04-16,13:55:17.362046,1776340517.362046,s,74.055558,s,229.0,mV
2026-04-16,13:55:17.623584,1776340517.623584,s,74.317096,s,229.0,mV
2026-04-16,13:55:17.862565,1776340517.862565,s,74.556077,s,260.6,mV
2026-04-16,13:55:18.123969,1776340518.123969,s,74.817481,s,260.6,mV
2026-04-16,13:55:18.363015,1776340518.363015,s,75.056527,s,260.6,mV
2026-04-16,13:55:18.624410,1776340518.62441,s,75.317922,s,172.9,mV
2026-04-16,13:55:18.863517,1776340518.863517,s,75.557029,s,172.9,mV
2026-04-16,13:55:19.124853,1776340519.124853,s,75.818365,s,102.9,mV
2026-04-16,13:55:19.363966,1776340519.363966,s,76.057478,s,102.9,mV
2026-04-16,13:55:19.625301,1776340519.625301,s,76.318813,s,44.8,mV
2026-04-16,13:55:19.864476,1776340519.864476,s,76.557988,s,44.8,mV
2026-04-16,13:55:20.125738,1776340520.125738,s,76.81925,s,44.8,mV
2026-04-16,13:55:20.364932,1776340520.364932,s,77.058444,s,106.6,mV
2026-04-16,13:55:20.626174,1776340520.626174,s,77.319686,s,106.6,mV
2026-04-16,13:55:20.865162,1776340520.865162,s,77.558674,s,106.6,mV
2026-04-16,13:55:21.126569,1776340521.126569,s,77.820081,s,225.0,mV
2026-04-16,13:55:21.365769,1776340521.365769,s,78.059281,s,225.0,mV
2026-04-16,13:55:21.626974,1776340521.626974,s,78.320486,s,263.1,mV
2026-04-16,13:55:21.866171,1776340521.866171,s,78.559683,s,263.1,mV
2026-04-16,13:55:22.127365,1776340522.127365,s,78.820877,s,236.1,mV
2026-04-16,13:55:22.366674,1776340522.366674,s,79.060186,s,236.1,mV
2026-04-16,13:55:22.627777,1776340522.627777,s,79.321289,s,236.1,mV
2026-04-16,13:55:22.867129,1776340522.867129,s,79.560641,s,173.6,mV
2026-04-16,13:55:23.128165,1776340523.128165,s,79.821677,s,173.6,mV
2026-04-16,13:55:23.367579,1776340523.367579,s,80.061091,s,62.6,mV
2026-04-16,13:55:23.628558,1776340523.628558,s,80.32207,s,62.6,mV
2026-04-16,13:55:23.868039,1776340523.868039,s,80.561551,s,62.6,mV
2026-04-16,13:55:24.128926,1776340524.128926,s,80.822438,s,62.1,mV
2026-04-16,13:55:24.368494,1776340524.368494,s,81.062006,s,62.1,mV
2026-04-16,13:55:24.629281,1776340524.629281,s,81.322793,s,110.6,mV
2026-04-16,13:55:24.868847,1776340524.868847,s,81.562359,s,110.6,mV
2026-04-16,13:55:25.129610,1776340525.12961,s,81.823122,s,224.1,mV
2026-04-16,13:55:25.369293,1776340525.369293,s,82.062805,s,224.1,mV
2026-04-16,13:55:25.629877,1776340525.629877,s,82.323389,s,224.1,mV
2026-04-16,13:55:25.869542,1776340525.869542,s,82.563054,s,259.9,mV
2026-04-16,13:55:26.130264,1776340526.130264,s,82.823776,s,259.9,mV
2026-04-16,13:55:26.369737,1776340526.369737,s,83.063249,s,230.4,mV
2026-04-16,13:55:26.630723,1776340526.630723,s,83.324235,s,230.4,mV
2026-04-16,13:55:26.870140,1776340526.87014,s,83.563652,s,110.3,mV
2026-04-16,13:55:27.131251,1776340527.131251,s,83.824763,s,110.3,mV
2026-04-16,13:55:27.370519,1776340527.370519,s,84.064031,s,110.3,mV
2026-04-16,13:55:27.631779,1776340527.631779,s,84.325291,s,59.6,mV
2026-04-16,13:55:27.870822,1776340527.870822,s,84.564334,s,59.6,mV
2026-04-16,13:55:28.132044,1776340528.132044,s,84.825556,s,63.4,mV
2026-04-16,13:55:28.371038,1776340528.371038,s,85.06455,s,63.4,mV
2026-04-16,13:55:28.632540,1776340528.63254,s,85.326052,s,160.0,mV
2026-04-16,13:55:28.871337,1776340528.871337,s,85.564849,s,160.0,mV
2026-04-16,13:55:29.132959,1776340529.132959,s,85.826471,s,160.0,mV
2026-04-16,13:55:29.371648,1776340529.371648,s,86.06516,s,251.3,mV
2026-04-16,13:55:29.633475,1776340529.633475,s,86.326987,s,251.3,mV
