Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,F,
2026-05-12,15:24:58.713401,1778592298.713401,s,74.0617,s,12070,
2026-05-12,15:24:58.962095,1778592298.962095,s,74.310394,s,12078,
2026-05-12,15:24:59.213655,1778592299.213655,s,74.561954,s,12095,
2026-05-12,15:24:59.462374,1778592299.462374,s,74.810673,s,12112,
2026-05-12,15:24:59.714181,1778592299.714181,s,75.06248,s,12137,
2026-05-12,15:24:59.962624,1778592299.962624,s,75.310923,s,12153,
2026-05-12,15:25:00.214604,1778592300.214604,s,75.562903,s,12167,
2026-05-12,15:25:00.463142,1778592300.463142,s,75.811441,s,12193,
2026-05-12,15:25:00.715130,1778592300.71513,s,76.063429,s,12205,
2026-05-12,15:25:00.963671,1778592300.963671,s,76.31197,s,12228,
2026-05-12,15:25:01.215495,1778592301.215495,s,76.563794,s,12242,
2026-05-12,15:25:01.464195,1778592301.464195,s,76.812494,s,12259,
2026-05-12,15:25:01.715986,1778592301.715986,s,77.064285,s,12282,
2026-05-12,15:25:01.964696,1778592301.964696,s,77.312995,s,12291,
2026-05-12,15:25:02.216393,1778592302.216393,s,77.564692,s,12313,
2026-05-12,15:25:02.465212,1778592302.465212,s,77.813511,s,12336,
2026-05-12,15:25:02.716899,1778592302.716899,s,78.065198,s,12340,
2026-05-12,15:25:02.965738,1778592302.965738,s,78.314037,s,12367,
2026-05-12,15:25:03.217171,1778592303.217171,s,78.56547,s,12376,
2026-05-12,15:25:03.466117,1778592303.466117,s,78.814416,s,12408,
2026-05-12,15:25:03.717504,1778592303.717504,s,79.065803,s,12414,
2026-05-12,15:25:03.966559,1778592303.966559,s,79.314858,s,12436,
2026-05-12,15:25:04.217913,1778592304.217913,s,79.566212,s,12457,
2026-05-12,15:25:04.467056,1778592304.467056,s,79.815355,s,12471,
2026-05-12,15:25:04.718251,1778592304.718251,s,80.06655,s,12478,
2026-05-12,15:25:04.967523,1778592304.967523,s,80.315822,s,12509,
2026-05-12,15:25:05.218545,1778592305.218545,s,80.566844,s,12507,
2026-05-12,15:25:05.468024,1778592305.468024,s,80.816323,s,12537,
2026-05-12,15:25:05.718773,1778592305.718773,s,81.067072,s,12545,
2026-05-12,15:25:05.968416,1778592305.968416,s,81.316715,s,12570,
2026-05-12,15:25:06.219012,1778592306.219012,s,81.567311,s,12581,
2026-05-12,15:25:06.468946,1778592306.468946,s,81.817245,s,12599,
2026-05-12,15:25:06.719291,1778592306.719291,s,82.06759,s,12621,
2026-05-12,15:25:06.969323,1778592306.969323,s,82.317622,s,12640,
2026-05-12,15:25:07.219554,1778592307.219554,s,82.567853,s,12663,
2026-05-12,15:25:07.469814,1778592307.469814,s,82.818113,s,12665,
2026-05-12,15:25:07.719888,1778592307.719888,s,83.068187,s,12695,
2026-05-12,15:25:07.970301,1778592307.970301,s,83.3186,s,12691,
2026-05-12,15:25:08.220246,1778592308.220246,s,83.568545,s,12719,
2026-05-12,15:25:08.470757,1778592308.470757,s,83.819056,s,12734,
2026-05-12,15:25:08.720537,1778592308.720537,s,84.068836,s,12760,
2026-05-12,15:25:08.971116,1778592308.971116,s,84.319415,s,12765,
2026-05-12,15:25:09.220895,1778592309.220895,s,84.569194,s,12787,
2026-05-12,15:25:09.471537,1778592309.471537,s,84.819836,s,12796,
2026-05-12,15:25:09.721320,1778592309.72132,s,85.069619,s,12812,
2026-05-12,15:25:09.971968,1778592309.971968,s,85.320267,s,12816,
2026-05-12,15:25:10.221608,1778592310.221608,s,85.569907,s,12850,
2026-05-12,15:25:10.472288,1778592310.472288,s,85.820587,s,12851,
2026-05-12,15:25:10.722056,1778592310.722056,s,86.070355,s,12882,
2026-05-12,15:25:10.972561,1778592310.972561,s,86.32086,s,12892,
2026-05-12,15:25:11.222504,1778592311.222504,s,86.570803,s,12914,
2026-05-12,15:25:11.472896,1778592311.472896,s,86.821195,s,12918,
2026-05-12,15:25:11.722930,1778592311.72293,s,87.071229,s,12942,
2026-05-12,15:25:11.973240,1778592311.97324,s,87.321539,s,12938,
2026-05-12,15:25:12.223376,1778592312.223376,s,87.571675,s,12975,
2026-05-12,15:25:12.473539,1778592312.473539,s,87.821838,s,12984,
2026-05-12,15:25:12.723869,1778592312.723869,s,88.072168,s,13008,
2026-05-12,15:25:12.973867,1778592312.973867,s,88.322166,s,13013,
2026-05-12,15:25:13.224227,1778592313.224227,s,88.572526,s,13029,
2026-05-12,15:25:13.474094,1778592313.474094,s,88.822393,s,13044,
2026-05-12,15:25:13.724735,1778592313.724735,s,89.073034,s,13062,
2026-05-12,15:25:13.974380,1778592313.97438,s,89.322679,s,13080,
2026-05-12,15:25:14.225227,1778592314.225227,s,89.573526,s,13096,
2026-05-12,15:25:14.474607,1778592314.474607,s,89.822906,s,13114,
2026-05-12,15:25:14.725706,1778592314.725706,s,90.074005,s,13123,
2026-05-12,15:25:14.975080,1778592314.97508,s,90.323379,s,13143,
2026-05-12,15:25:15.226194,1778592315.226194,s,90.574493,s,13150,
2026-05-12,15:25:15.475591,1778592315.475591,s,90.82389,s,13164,
2026-05-12,15:25:15.726647,1778592315.726647,s,91.074946,s,13177,
