Zeit t / s;Weg s_A1 / cm;p;V
0,062;2,18340689424491;1159;273,209584892869
0,0622;2,19911485751285;1162;272,765049532386
0,0624;2,2148228207808;1164;272,320514171903
0,0626;2,23053078404875;1168;271,87597881142
0,0628;2,2462387473167;1171;271,431443450937
0,063;2,26194671058465;1173;270,986908090454
0,0632;2,2776546738526;1176;270,542372729971
0,0634;2,29336263712055;1179;270,097837369488
0,0636;2,3090706003885;1182;269,653302009006
0,0638;2,33263254529042;1185;268,986498968281
0,064;2,34834050855837;1188;268,541963607798
0,0642;2,35619449019234;1191;268,319695927557
0,0644;2,37190245346029;1194;267,875160567074
0,0646;2,39546439836222;1197;267,208357526349
0,0648;2,40331837999619;1199;266,986089846108
0,065;2,42688032489812;1202;266,319286805383
0,0652;2,43473430653209;1205;266,097019125142
0,0654;2,46615023306799;1208;265,207948404176
0,0656;2,47400421470196;1211;264,985680723934
0,0658;2,49756615960389;1214;264,31887768321
0,066;2,50542014123786;1217;264,096610002969
0,0662;2,52898208613978;1220;263,429806962244
0,0664;2,53683606777376;1223;263,207539282003
0,0666;2,56039801267568;1227;262,540736241278
0,0668;2,56825199430966;1230;262,318468561037
0,067;2,59181393921158;1233;261,651665520312
0,0672;2,59181393921158;1236;261,651665520312
0,0674;2,62322986574748;1240;260,762594799346
0,0676;2,63108384738145;1243;260,540327119105
0,0678;2,65464579228337;1246;259,87352407838
0,068;2,66249977391735;1250;259,651256398139
0,0682;2,68606171881927;1254;258,984453357415
0,0684;2,69391570045325;1257;258,762185677173
0,0686;2,71747764535517;1261;258,095382636449
0,0688;2,73318560862312;1265;257,650847275966
0,069;2,75674755352504;1268;256,984044235241
0,0692;2,76460153515902;1272;256,761776555
0,0694;2,78030949842697;1275;256,317241194517
0,0696;2,78816348006094;1280;256,094973514275
0,0698;2,81172542496286;1283;255,428170473551
0,07;2,82743338823081;1287;254,983635113068
0,0702;2,85099533313274;1291;254,316832072344
0,0704;2,85884931476671;1295;254,094564392102
0,0706;2,88241125966864;1299;253,427761351378
0,0708;2,89026524130261;1304;253,205493671136
0,071;2,91382718620453;1307;252,538690630412
0,0712;2,92168116783851;1311;252,31642295017
0,0714;2,94524311274043;1315;251,649619909446
0,0716;2,95309709437441;1319;251,427352229204
0,0718;2,97665903927633;1323;250,76054918848
0,072;2,97665903927633;1327;250,76054918848
0,0722;3,00022098417825;1332;250,093746147755
0,0724;3,0159289474462;1336;249,649210787272
0,0726;3,03163691071415;1339;249,20467542679
0,0728;3,03949089234813;1344;248,982407746548
0,073;3,05519885561607;1348;248,537872386065
0,0732;3,07090681888402;1351;248,093337025582
0,0734;3,08661478215197;1355;247,648801665099
0,0736;3,10232274541992;1359;247,204266304616
0,0738;3,11803070868787;1363;246,759730944133
0,074;3,13373867195582;1366;246,31519558365
0,0742;3,14159265358979;1370;246,092927903409
0,0744;3,15730061685774;1374;245,648392542926
0,0746;3,16515459849172;1378;245,426124862684
0,0748;3,18871654339364;1382;244,75932182196
0,075;3,19657052502761;1385;244,537054141719
0,0752;3,22013246992954;1389;243,870251100994
0,0754;3,22013246992954;1393;243,870251100994
0,0756;3,24369441483146;1397;243,20344806027
0,0758;3,25940237809941;1400;242,758912699787
0,076;3,27511034136736;1404;242,314377339304
0,0762;3,28296432300133;1407;242,092109659062
0,0764;3,29081830463531;1411;241,869841978821
0,0766;3,31438024953723;1415;241,203038938096
0,0768;3,32223423117121;1419;240,980771257855
0,077;3,34579617607313;1423;240,31396821713
0,0772;3,3536501577071;1427;240,091700536889
0,0774;3,36935812097505;1431;239,647165176406
0,0776;3,37721210260903;1435;239,424897496165
0,0778;3,39292006587698;1439;238,980362135682
0,078;3,4164820107789;1444;238,313559094957
0,0782;3,42433599241287;1448;238,091291414716
0,0784;3,43218997404685;1452;237,869023734474
0,0786;3,44004395568082;1457;237,646756054233
0,0788;3,45575191894877;1462;237,20222069375
0,079;3,47145988221672;1466;236,757685333267
0,0792;3,4793138638507;1471;236,535417653025
0,0794;3,49502182711865;1476;236,090882292542
0,0796;3,50287580875262;1481;235,868614612301
0,0798;3,51858377202057;1486;235,424079251818
0,08;3,53429173528852;1491;234,979543891335
0,0802;3,54214571692249;1495;234,757276211093
0,0804;3,55785368019044;1500;234,312740850611
0,0806;3,56570766182442;1505;234,090473170369
0,0808;3,58141562509236;1510;233,645937809886
0,081;3,59712358836031;1515;233,201402449403
0,0812;3,60497756999429;1520;232,979134769162
0,0814;3,62068553326224;1524;232,534599408679
0,0816;3,62853951489621;1529;232,312331728437
0,0818;3,64424747816416;1533;231,867796367954
0,082;3,65995544143211;1537;231,423261007471
0,0822;3,65995544143211;1542;231,423261007471
0,0824;3,67566340470006;1546;230,978725646988
0,0826;3,68351738633403;1550;230,756457966747
0,0828;3,69922534960198;1554;230,311922606264
0,083;3,71493331286993;1558;229,867387245781
0,0832;3,7227872945039;1562;229,645119565539
0,0834;3,73849525777185;1566;229,200584205057
0,0836;3,74634923940583;1569;228,978316524815
0,0838;3,7542032210398;1573;228,756048844574
0,084;3,76991118430775;1577;228,311513484091
0,0842;3,7856191475757;1581;227,866978123608
0,0844;3,7856191475757;1584;227,866978123608
0,0846;3,80132711084365;1588;227,422442763125
0,0848;3,8170350741116;1592;226,977907402642
0,085;3,82488905574557;1596;226,7556397224
0,0852;3,84059701901352;1599;226,311104361917
0,0854;3,8484510006475;1603;226,088836681676
0,0856;3,8484510006475;1608;226,088836681676
0,0858;3,87201294554942;1612;225,422033640951
0,086;3,87201294554942;1616;225,422033640951
0,0862;3,87986692718339;1620;225,19976596071
0,0864;3,89557489045134;1624;224,755230600227
0,0866;3,91128285371929;1629;224,310695239744
0,0868;3,91128285371929;1633;224,310695239744
0,087;3,92699081698724;1637;223,866159879261
0,0872;3,93484479862122;1642;223,64389219902
0,0874;3,95055276188916;1647;223,199356838537
0,0876;3,95840674352314;1651;222,977089158295
0,0878;3,96626072515711;1656;222,754821478054
0,088;3,96626072515711;1661;222,754821478054
0,0882;3,98196868842506;1666;222,310286117571
0,0884;3,98982267005904;1670;222,088018437329
0,0886;3,99767665169301;1675;221,865750757088
0,0888;3,99767665169301;1679;221,865750757088
0,089;4,01338461496096;1684;221,421215396605
0,0892;4,02909257822891;1688;220,976680036122
