Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,U_H,,U,,T,
2026-05-07,16:15:07.009961,1778163307.009961,s,840.067289,s,46.78125,mV,1.6069999933242798,V,42.6875,°C
2026-05-07,16:15:12.002964,1778163312.002964,s,845.060292,s,46.7890625,mV,1.606374979019165,V,42.5,°C
2026-05-07,16:15:17.011408,1778163317.011408,s,850.068736,s,46.796875,mV,1.605875015258789,V,42.45000076293945,°C
2026-05-07,16:15:22.003361,1778163322.003361,s,855.060689,s,46.796875,mV,1.605375051498413,V,42.38750076293945,°C
2026-05-07,16:15:27.011939,1778163327.011939,s,860.069267,s,46.8046875,mV,1.6047500371932983,V,42.337501525878906,°C
2026-05-07,16:15:32.003659,1778163332.003659,s,865.060987,s,46.8046875,mV,1.6043750047683716,V,42.287498474121094,°C
2026-05-07,16:15:37.012373,1778163337.012373,s,870.069701,s,46.8125,mV,1.6038750410079956,V,42.224998474121094,°C
2026-05-07,16:15:42.004025,1778163342.004025,s,875.061353,s,46.8203125,mV,1.60337495803833,V,42.1875,°C
2026-05-07,16:15:47.012695,1778163347.012695,s,880.070023,s,46.8203125,mV,1.602874994277954,V,42.13750076293945,°C
2026-05-07,16:15:52.004392,1778163352.004392,s,885.06172,s,46.8203125,mV,1.6023750305175781,V,42.087501525878906,°C
2026-05-07,16:15:57.013200,1778163357.0132,s,890.070528,s,46.828125,mV,1.6018749475479126,V,42.037498474121094,°C
2026-05-07,16:16:02.004672,1778163362.004672,s,895.062,s,46.8359375,mV,1.6013749837875366,V,41.98749923706055,°C
2026-05-07,16:16:07.013576,1778163367.013576,s,900.070904,s,46.8359375,mV,1.6009999513626099,V,41.9375,°C
2026-05-07,16:16:12.005016,1778163372.005016,s,905.062344,s,46.84375,mV,1.6004999876022339,V,41.88750076293945,°C
2026-05-07,16:16:17.014057,1778163377.014057,s,910.071385,s,46.84375,mV,1.6001249551773071,V,41.849998474121094,°C
2026-05-07,16:16:22.005254,1778163382.005254,s,915.062582,s,46.8359375,mV,1.5996249914169312,V,41.79999923706055,°C
2026-05-07,16:16:27.014568,1778163387.014568,s,920.071896,s,46.8359375,mV,1.5992499589920044,V,41.76250076293945,°C
2026-05-07,16:16:32.006497,1778163392.006497,s,925.063825,s,46.84375,mV,1.5987499952316284,V,41.712501525878906,°C
