Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,temp,
2025-12-12,10:28:51.183174,1765531731.183174,s,71.556682,s,71.0,°C
2025-12-12,10:28:51.434451,1765531731.434451,s,71.807959,s,71.0,°C
2025-12-12,10:28:51.683644,1765531731.683644,s,72.057152,s,71.0,°C
2025-12-12,10:28:51.934949,1765531731.934949,s,72.308457,s,71.0,°C
2025-12-12,10:28:52.184138,1765531732.184138,s,72.557646,s,71.0,°C
2025-12-12,10:28:52.435453,1765531732.435453,s,72.808961,s,71.0,°C
2025-12-12,10:28:52.684600,1765531732.6846,s,73.058108,s,71.0,°C
2025-12-12,10:28:52.935936,1765531732.935936,s,73.309444,s,71.0,°C
2025-12-12,10:28:53.185072,1765531733.185072,s,73.55858,s,71.0,°C
2025-12-12,10:28:53.436421,1765531733.436421,s,73.809929,s,71.0,°C
2025-12-12,10:28:53.685522,1765531733.685522,s,74.05903,s,71.0,°C
2025-12-12,10:28:53.936872,1765531733.936872,s,74.31038,s,71.0,°C
2025-12-12,10:28:54.185804,1765531734.185804,s,74.559312,s,71.0,°C
2025-12-12,10:28:54.437351,1765531734.437351,s,74.810859,s,71.0,°C
2025-12-12,10:28:54.686137,1765531734.686137,s,75.059645,s,71.0,°C
2025-12-12,10:28:54.937833,1765531734.937833,s,75.311341,s,71.0,°C
2025-12-12,10:28:55.186638,1765531735.186638,s,75.560146,s,71.0,°C
2025-12-12,10:28:55.438319,1765531735.438319,s,75.811827,s,71.0,°C
2025-12-12,10:28:55.686872,1765531735.686872,s,76.06038,s,71.0,°C
2025-12-12,10:28:55.938786,1765531735.938786,s,76.312294,s,71.0,°C
2025-12-12,10:28:56.187073,1765531736.187073,s,76.560581,s,71.0,°C
2025-12-12,10:28:56.439113,1765531736.439113,s,76.812621,s,71.0,°C
2025-12-12,10:28:56.687469,1765531736.687469,s,77.060977,s,71.0,°C
2025-12-12,10:28:56.939604,1765531736.939604,s,77.313112,s,71.0,°C
2025-12-12,10:28:57.187987,1765531737.187987,s,77.561495,s,72.0,°C
2025-12-12,10:28:57.439855,1765531737.439855,s,77.813363,s,72.0,°C
2025-12-12,10:28:57.688221,1765531737.688221,s,78.061729,s,72.0,°C
2025-12-12,10:28:57.940236,1765531737.940236,s,78.313744,s,71.0,°C
2025-12-12,10:28:58.188665,1765531738.188665,s,78.562173,s,71.0,°C
2025-12-12,10:28:58.440561,1765531738.440561,s,78.814069,s,71.0,°C
2025-12-12,10:28:58.688969,1765531738.688969,s,79.062477,s,71.0,°C
2025-12-12,10:28:58.941012,1765531738.941012,s,79.31452,s,71.0,°C
2025-12-12,10:28:59.189477,1765531739.189477,s,79.562985,s,71.0,°C
2025-12-12,10:28:59.441398,1765531739.441398,s,79.814906,s,71.0,°C
2025-12-12,10:28:59.689965,1765531739.689965,s,80.063473,s,71.0,°C
2025-12-12,10:28:59.941798,1765531739.941798,s,80.315306,s,71.0,°C
2025-12-12,10:29:00.190498,1765531740.190498,s,80.564006,s,72.0,°C
2025-12-12,10:29:00.442209,1765531740.442209,s,80.815717,s,72.0,°C
2025-12-12,10:29:00.691024,1765531740.691024,s,81.064532,s,71.0,°C
2025-12-12,10:29:00.942626,1765531740.942626,s,81.316134,s,71.0,°C
2025-12-12,10:29:01.191448,1765531741.191448,s,81.564956,s,71.0,°C
2025-12-12,10:29:01.443152,1765531741.443152,s,81.81666,s,71.0,°C
2025-12-12,10:29:01.691942,1765531741.691942,s,82.06545,s,71.0,°C
2025-12-12,10:29:01.943590,1765531741.94359,s,82.317098,s,71.0,°C
2025-12-12,10:29:02.192317,1765531742.192317,s,82.565825,s,71.0,°C
2025-12-12,10:29:02.444013,1765531742.444013,s,82.817521,s,71.0,°C
2025-12-12,10:29:02.692804,1765531742.692804,s,83.066312,s,71.0,°C
2025-12-12,10:29:02.944474,1765531742.944474,s,83.317982,s,71.0,°C
2025-12-12,10:29:03.193298,1765531743.193298,s,83.566806,s,71.0,°C
2025-12-12,10:29:03.444804,1765531743.444804,s,83.818312,s,71.0,°C
2025-12-12,10:29:03.693764,1765531743.693764,s,84.067272,s,71.0,°C
2025-12-12,10:29:03.945141,1765531743.945141,s,84.318649,s,71.0,°C
2025-12-12,10:29:04.194279,1765531744.194279,s,84.567787,s,71.0,°C
2025-12-12,10:29:04.445475,1765531744.445475,s,84.818983,s,71.0,°C
2025-12-12,10:29:04.694781,1765531744.694781,s,85.068289,s,71.0,°C
2025-12-12,10:29:04.946043,1765531744.946043,s,85.319551,s,71.0,°C
2025-12-12,10:29:05.195286,1765531745.195286,s,85.568794,s,71.0,°C
2025-12-12,10:29:05.446608,1765531745.446608,s,85.820116,s,71.0,°C
2025-12-12,10:29:05.695731,1765531745.695731,s,86.069239,s,71.0,°C
2025-12-12,10:29:05.947120,1765531745.94712,s,86.320628,s,71.0,°C
