Date,Time,Time since 1970-01-01T00:00:00Z,,t,,T,
2025-12-02,14:17:19.739896,1764681439.739896,s,78.557862,s,67.0,°C
2025-12-02,14:17:19.991402,1764681439.991402,s,78.809368,s,67.0,°C
2025-12-02,14:17:20.240284,1764681440.240284,s,79.05825,s,67.0,°C
2025-12-02,14:17:20.491889,1764681440.491889,s,79.309855,s,67.0,°C
2025-12-02,14:17:20.740627,1764681440.740627,s,79.558593,s,67.0,°C
2025-12-02,14:17:20.992394,1764681440.992394,s,79.81036,s,67.0,°C
2025-12-02,14:17:21.240920,1764681441.24092,s,80.058886,s,67.0,°C
2025-12-02,14:17:21.492862,1764681441.492862,s,80.310828,s,67.0,°C
2025-12-02,14:17:21.741147,1764681441.741147,s,80.559113,s,67.0,°C
2025-12-02,14:17:21.993241,1764681441.993241,s,80.811207,s,67.0,°C
2025-12-02,14:17:22.241471,1764681442.241471,s,81.059437,s,67.0,°C
2025-12-02,14:17:22.493697,1764681442.493697,s,81.311663,s,67.0,°C
2025-12-02,14:17:22.741785,1764681442.741785,s,81.559751,s,67.0,°C
2025-12-02,14:17:22.994157,1764681442.994157,s,81.812123,s,67.0,°C
2025-12-02,14:17:23.242001,1764681443.242001,s,82.059967,s,67.0,°C
2025-12-02,14:17:23.494515,1764681443.494515,s,82.312481,s,67.0,°C
2025-12-02,14:17:23.742419,1764681443.742419,s,82.560385,s,67.0,°C
2025-12-02,14:17:23.995029,1764681443.995029,s,82.812995,s,67.0,°C
2025-12-02,14:17:24.242915,1764681444.242915,s,83.060881,s,67.0,°C
2025-12-02,14:17:24.495430,1764681444.49543,s,83.313396,s,67.0,°C
2025-12-02,14:17:24.743167,1764681444.743167,s,83.561133,s,67.0,°C
2025-12-02,14:17:24.995853,1764681444.995853,s,83.813819,s,67.0,°C
2025-12-02,14:17:25.243627,1764681445.243627,s,84.061593,s,67.0,°C
2025-12-02,14:17:25.496298,1764681445.496298,s,84.314264,s,67.0,°C
2025-12-02,14:17:25.743950,1764681445.74395,s,84.561916,s,67.0,°C
2025-12-02,14:17:25.996702,1764681445.996702,s,84.814668,s,67.0,°C
2025-12-02,14:17:26.244298,1764681446.244298,s,85.062264,s,67.0,°C
2025-12-02,14:17:26.496935,1764681446.496935,s,85.314901,s,67.0,°C
2025-12-02,14:17:26.744626,1764681446.744626,s,85.562592,s,67.0,°C
2025-12-02,14:17:26.997166,1764681446.997166,s,85.815132,s,67.0,°C
2025-12-02,14:17:27.244922,1764681447.244922,s,86.062888,s,67.0,°C
2025-12-02,14:17:27.497418,1764681447.497418,s,86.315384,s,67.0,°C
