Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2025-12-09,14:11:14.553056,1765285874.553056,s,41.785112,s,72.0,°C
2025-12-09,14:11:14.814096,1765285874.814096,s,42.046152,s,72.0,°C
2025-12-09,14:11:15.053588,1765285875.053588,s,42.285644,s,72.0,°C
2025-12-09,14:11:15.314630,1765285875.31463,s,42.546686,s,72.0,°C
2025-12-09,14:11:15.554096,1765285875.554096,s,42.786152,s,72.0,°C
2025-12-09,14:11:15.815030,1765285875.81503,s,43.047086,s,72.0,°C
2025-12-09,14:11:16.054391,1765285876.054391,s,43.286447,s,72.0,°C
2025-12-09,14:11:16.315544,1765285876.315544,s,43.5476,s,72.0,°C
2025-12-09,14:11:16.554893,1765285876.554893,s,43.786949,s,72.0,°C
2025-12-09,14:11:16.816028,1765285876.816028,s,44.048084,s,72.0,°C
2025-12-09,14:11:17.055376,1765285877.055376,s,44.287432,s,72.0,°C
2025-12-09,14:11:17.316516,1765285877.316516,s,44.548572,s,72.0,°C
2025-12-09,14:11:17.555828,1765285877.555828,s,44.787884,s,72.0,°C
2025-12-09,14:11:17.816883,1765285877.816883,s,45.048939,s,72.0,°C
2025-12-09,14:11:18.056236,1765285878.056236,s,45.288292,s,72.0,°C
2025-12-09,14:11:18.317125,1765285878.317125,s,45.549181,s,72.0,°C
2025-12-09,14:11:18.556709,1765285878.556709,s,45.788765,s,72.0,°C
2025-12-09,14:11:18.817514,1765285878.817514,s,46.04957,s,72.0,°C
2025-12-09,14:11:19.057182,1765285879.057182,s,46.289238,s,72.0,°C
2025-12-09,14:11:19.317879,1765285879.317879,s,46.549935,s,72.0,°C
2025-12-09,14:11:19.557643,1765285879.557643,s,46.789699,s,72.0,°C
2025-12-09,14:11:19.818404,1765285879.818404,s,47.05046,s,72.0,°C
2025-12-09,14:11:20.058016,1765285880.058016,s,47.290072,s,72.0,°C
2025-12-09,14:11:20.318881,1765285880.318881,s,47.550937,s,72.0,°C
2025-12-09,14:11:20.558311,1765285880.558311,s,47.790367,s,72.0,°C
2025-12-09,14:11:20.819369,1765285880.819369,s,48.051425,s,72.0,°C
2025-12-09,14:11:21.058594,1765285881.058594,s,48.29065,s,72.0,°C
2025-12-09,14:11:21.319847,1765285881.319847,s,48.551903,s,72.0,°C
2025-12-09,14:11:21.558970,1765285881.55897,s,48.791026,s,72.0,°C
2025-12-09,14:11:21.820364,1765285881.820364,s,49.05242,s,72.0,°C
2025-12-09,14:11:22.059237,1765285882.059237,s,49.291293,s,72.0,°C
2025-12-09,14:11:22.320791,1765285882.320791,s,49.552847,s,73.0,°C
2025-12-09,14:11:22.559603,1765285882.559603,s,49.791659,s,73.0,°C
2025-12-09,14:11:22.821231,1765285882.821231,s,50.053287,s,73.0,°C
2025-12-09,14:11:23.060139,1765285883.060139,s,50.292195,s,73.0,°C
2025-12-09,14:11:23.321491,1765285883.321491,s,50.553547,s,73.0,°C
2025-12-09,14:11:23.560393,1765285883.560393,s,50.792449,s,72.0,°C
2025-12-09,14:11:23.822010,1765285883.82201,s,51.054066,s,72.0,°C
2025-12-09,14:11:24.060688,1765285884.060688,s,51.292744,s,72.0,°C
2025-12-09,14:11:24.322490,1765285884.32249,s,51.554546,s,72.0,°C
2025-12-09,14:11:24.560962,1765285884.560962,s,51.793018,s,72.0,°C
2025-12-09,14:11:24.822999,1765285884.822999,s,52.055055,s,72.0,°C
2025-12-09,14:11:25.061339,1765285885.061339,s,52.293395,s,72.0,°C
2025-12-09,14:11:25.323462,1765285885.323462,s,52.555518,s,72.0,°C
2025-12-09,14:11:25.561800,1765285885.5618,s,52.793856,s,72.0,°C
2025-12-09,14:11:25.823950,1765285885.82395,s,53.056006,s,72.0,°C
2025-12-09,14:11:26.062278,1765285886.062278,s,53.294334,s,72.0,°C
2025-12-09,14:11:26.324358,1765285886.324358,s,53.556414,s,72.0,°C
2025-12-09,14:11:26.562778,1765285886.562778,s,53.794834,s,72.0,°C
2025-12-09,14:11:26.824845,1765285886.824845,s,54.056901,s,72.0,°C
2025-12-09,14:11:27.063163,1765285887.063163,s,54.295219,s,72.0,°C
2025-12-09,14:11:27.325294,1765285887.325294,s,54.55735,s,72.0,°C
2025-12-09,14:11:27.563674,1765285887.563674,s,54.79573,s,72.0,°C
2025-12-09,14:11:27.825701,1765285887.825701,s,55.057757,s,72.0,°C
2025-12-09,14:11:28.064046,1765285888.064046,s,55.296102,s,72.0,°C
2025-12-09,14:11:28.326103,1765285888.326103,s,55.558159,s,72.0,°C
2025-12-09,14:11:28.564546,1765285888.564546,s,55.796602,s,72.0,°C
2025-12-09,14:11:28.826582,1765285888.826582,s,56.058638,s,72.0,°C
2025-12-09,14:11:29.064983,1765285889.064983,s,56.297039,s,72.0,°C
2025-12-09,14:11:29.327011,1765285889.327011,s,56.559067,s,72.0,°C
2025-12-09,14:11:29.565462,1765285889.565462,s,56.797518,s,72.0,°C
2025-12-09,14:11:29.827292,1765285889.827292,s,57.059348,s,72.0,°C
2025-12-09,14:11:30.065822,1765285890.065822,s,57.297878,s,72.0,°C
2025-12-09,14:11:30.327715,1765285890.327715,s,57.559771,s,72.0,°C
2025-12-09,14:11:30.566284,1765285890.566284,s,57.79834,s,72.0,°C
2025-12-09,14:11:30.828403,1765285890.828403,s,58.060459,s,72.0,°C
2025-12-09,14:11:31.066659,1765285891.066659,s,58.298715,s,72.0,°C
2025-12-09,14:11:31.328800,1765285891.3288,s,58.560856,s,72.0,°C
2025-12-09,14:11:31.567022,1765285891.567022,s,58.799078,s,72.0,°C
2025-12-09,14:11:31.829379,1765285891.829379,s,59.061435,s,72.0,°C
2025-12-09,14:11:32.067303,1765285892.067303,s,59.299359,s,72.0,°C
2025-12-09,14:11:32.329769,1765285892.329769,s,59.561825,s,72.0,°C
2025-12-09,14:11:32.567675,1765285892.567675,s,59.799731,s,72.0,°C
2025-12-09,14:11:32.830275,1765285892.830275,s,60.062331,s,72.0,°C
2025-12-09,14:11:33.068149,1765285893.068149,s,60.300205,s,72.0,°C
2025-12-09,14:11:33.330862,1765285893.330862,s,60.562918,s,72.0,°C
2025-12-09,14:11:33.568523,1765285893.568523,s,60.800579,s,72.0,°C
2025-12-09,14:11:33.831387,1765285893.831387,s,61.063443,s,72.0,°C
2025-12-09,14:11:34.068836,1765285894.068836,s,61.300892,s,72.0,°C
2025-12-09,14:11:34.331864,1765285894.331864,s,61.56392,s,72.0,°C
2025-12-09,14:11:34.569164,1765285894.569164,s,61.80122,s,72.0,°C
2025-12-09,14:11:34.832251,1765285894.832251,s,62.064307,s,72.0,°C
2025-12-09,14:11:35.069418,1765285895.069418,s,62.301474,s,72.0,°C
2025-12-09,14:11:35.332852,1765285895.332852,s,62.564908,s,72.0,°C
2025-12-09,14:11:35.569685,1765285895.569685,s,62.801741,s,72.0,°C
2025-12-09,14:11:35.833374,1765285895.833374,s,63.06543,s,72.0,°C
2025-12-09,14:11:36.070165,1765285896.070165,s,63.302221,s,72.0,°C
2025-12-09,14:11:36.333768,1765285896.333768,s,63.565824,s,72.0,°C
2025-12-09,14:11:36.570665,1765285896.570665,s,63.802721,s,72.0,°C
2025-12-09,14:11:36.834263,1765285896.834263,s,64.066319,s,72.0,°C
2025-12-09,14:11:37.071157,1765285897.071157,s,64.303213,s,72.0,°C
2025-12-09,14:11:37.334721,1765285897.334721,s,64.566777,s,72.0,°C
2025-12-09,14:11:37.571652,1765285897.571652,s,64.803708,s,72.0,°C
2025-12-09,14:11:37.835192,1765285897.835192,s,65.067248,s,72.0,°C
2025-12-09,14:11:38.072121,1765285898.072121,s,65.304177,s,72.0,°C
2025-12-09,14:11:38.335652,1765285898.335652,s,65.567708,s,72.0,°C
2025-12-09,14:11:38.572590,1765285898.57259,s,65.804646,s,72.0,°C
2025-12-09,14:11:38.836063,1765285898.836063,s,66.068119,s,72.0,°C
2025-12-09,14:11:39.073090,1765285899.07309,s,66.305146,s,72.0,°C
2025-12-09,14:11:39.336411,1765285899.336411,s,66.568467,s,72.0,°C
2025-12-09,14:11:39.573371,1765285899.573371,s,66.805427,s,72.0,°C
2025-12-09,14:11:39.836763,1765285899.836763,s,67.068819,s,72.0,°C
2025-12-09,14:11:40.073849,1765285900.073849,s,67.305905,s,72.0,°C
2025-12-09,14:11:40.337208,1765285900.337208,s,67.569264,s,72.0,°C
2025-12-09,14:11:40.574246,1765285900.574246,s,67.806302,s,72.0,°C
2025-12-09,14:11:40.837675,1765285900.837675,s,68.069731,s,72.0,°C
2025-12-09,14:11:41.074734,1765285901.074734,s,68.30679,s,72.0,°C
2025-12-09,14:11:41.338158,1765285901.338158,s,68.570214,s,72.0,°C
2025-12-09,14:11:41.575216,1765285901.575216,s,68.807272,s,72.0,°C
2025-12-09,14:11:41.838514,1765285901.838514,s,69.07057,s,72.0,°C
2025-12-09,14:11:42.075712,1765285902.075712,s,69.307768,s,72.0,°C
2025-12-09,14:11:42.339019,1765285902.339019,s,69.571075,s,72.0,°C
2025-12-09,14:11:42.576218,1765285902.576218,s,69.808274,s,72.0,°C
2025-12-09,14:11:42.839464,1765285902.839464,s,70.07152,s,72.0,°C
2025-12-09,14:11:43.076704,1765285903.076704,s,70.30876,s,72.0,°C
2025-12-09,14:11:43.339920,1765285903.33992,s,70.571976,s,72.0,°C
2025-12-09,14:11:43.577175,1765285903.577175,s,70.809231,s,72.0,°C
2025-12-09,14:11:43.840229,1765285903.840229,s,71.072285,s,72.0,°C
2025-12-09,14:11:44.077534,1765285904.077534,s,71.30959,s,72.0,°C
2025-12-09,14:11:44.340549,1765285904.340549,s,71.572605,s,72.0,°C
2025-12-09,14:11:44.578001,1765285904.578001,s,71.810057,s,72.0,°C
2025-12-09,14:11:44.841001,1765285904.841001,s,72.073057,s,72.0,°C
2025-12-09,14:11:45.078290,1765285905.07829,s,72.310346,s,72.0,°C
2025-12-09,14:11:45.341473,1765285905.341473,s,72.573529,s,72.0,°C
2025-12-09,14:11:45.578737,1765285905.578737,s,72.810793,s,72.0,°C
2025-12-09,14:11:45.841926,1765285905.841926,s,73.073982,s,72.0,°C
2025-12-09,14:11:46.079131,1765285906.079131,s,73.311187,s,72.0,°C
2025-12-09,14:11:46.342262,1765285906.342262,s,73.574318,s,72.0,°C
2025-12-09,14:11:46.579418,1765285906.579418,s,73.811474,s,72.0,°C
2025-12-09,14:11:46.842758,1765285906.842758,s,74.074814,s,72.0,°C
2025-12-09,14:11:47.079793,1765285907.079793,s,74.311849,s,72.0,°C
2025-12-09,14:11:47.343182,1765285907.343182,s,74.575238,s,72.0,°C
2025-12-09,14:11:47.580173,1765285907.580173,s,74.812229,s,72.0,°C
2025-12-09,14:11:47.843660,1765285907.84366,s,75.075716,s,72.0,°C
2025-12-09,14:11:48.080497,1765285908.080497,s,75.312553,s,72.0,°C
2025-12-09,14:11:48.344133,1765285908.344133,s,75.576189,s,72.0,°C
2025-12-09,14:11:48.580850,1765285908.58085,s,75.812906,s,72.0,°C
2025-12-09,14:11:48.844480,1765285908.84448,s,76.076536,s,72.0,°C
2025-12-09,14:11:49.081240,1765285909.08124,s,76.313296,s,72.0,°C
2025-12-09,14:11:49.344990,1765285909.34499,s,76.577046,s,72.0,°C
2025-12-09,14:11:49.581521,1765285909.581521,s,76.813577,s,72.0,°C
2025-12-09,14:11:49.845242,1765285909.845242,s,77.077298,s,72.0,°C
2025-12-09,14:11:50.081897,1765285910.081897,s,77.313953,s,72.0,°C
2025-12-09,14:11:50.345633,1765285910.345633,s,77.577689,s,72.0,°C
2025-12-09,14:11:50.582401,1765285910.582401,s,77.814457,s,72.0,°C
2025-12-09,14:11:50.846140,1765285910.84614,s,78.078196,s,72.0,°C
2025-12-09,14:11:51.082788,1765285911.082788,s,78.314844,s,72.0,°C
2025-12-09,14:11:51.346416,1765285911.346416,s,78.578472,s,72.0,°C
2025-12-09,14:11:51.583254,1765285911.583254,s,78.81531,s,72.0,°C
2025-12-09,14:11:51.846867,1765285911.846867,s,79.078923,s,72.0,°C
2025-12-09,14:11:52.083668,1765285912.083668,s,79.315724,s,72.0,°C
2025-12-09,14:11:52.347360,1765285912.34736,s,79.579416,s,72.0,°C
2025-12-09,14:11:52.584146,1765285912.584146,s,79.816202,s,72.0,°C
2025-12-09,14:11:52.847832,1765285912.847832,s,80.079888,s,72.0,°C
2025-12-09,14:11:53.084522,1765285913.084522,s,80.316578,s,72.0,°C
2025-12-09,14:11:53.348276,1765285913.348276,s,80.580332,s,72.0,°C
2025-12-09,14:11:53.585012,1765285913.585012,s,80.817068,s,72.0,°C
2025-12-09,14:11:53.848587,1765285913.848587,s,81.080643,s,72.0,°C
2025-12-09,14:11:54.085259,1765285914.085259,s,81.317315,s,72.0,°C
2025-12-09,14:11:54.349097,1765285914.349097,s,81.581153,s,72.0,°C
2025-12-09,14:11:54.585739,1765285914.585739,s,81.817795,s,72.0,°C
2025-12-09,14:11:54.849408,1765285914.849408,s,82.081464,s,72.0,°C
2025-12-09,14:11:55.086132,1765285915.086132,s,82.318188,s,72.0,°C
2025-12-09,14:11:55.349981,1765285915.349981,s,82.582037,s,72.0,°C
2025-12-09,14:11:55.586588,1765285915.586588,s,82.818644,s,72.0,°C
2025-12-09,14:11:55.850430,1765285915.85043,s,83.082486,s,72.0,°C
2025-12-09,14:11:56.087002,1765285916.087002,s,83.319058,s,72.0,°C
2025-12-09,14:11:56.350903,1765285916.350903,s,83.582959,s,72.0,°C
2025-12-09,14:11:56.587248,1765285916.587248,s,83.819304,s,72.0,°C
2025-12-09,14:11:56.851320,1765285916.85132,s,84.083376,s,72.0,°C
2025-12-09,14:11:57.087652,1765285917.087652,s,84.319708,s,72.0,°C
2025-12-09,14:11:57.351662,1765285917.351662,s,84.583718,s,72.0,°C
2025-12-09,14:11:57.588066,1765285917.588066,s,84.820122,s,72.0,°C
2025-12-09,14:11:57.852055,1765285917.852055,s,85.084111,s,72.0,°C
2025-12-09,14:11:58.088381,1765285918.088381,s,85.320437,s,72.0,°C
2025-12-09,14:11:58.352301,1765285918.352301,s,85.584357,s,72.0,°C
2025-12-09,14:11:58.588768,1765285918.588768,s,85.820824,s,72.0,°C
2025-12-09,14:11:58.852758,1765285918.852758,s,86.084814,s,72.0,°C
2025-12-09,14:11:59.089133,1765285919.089133,s,86.321189,s,72.0,°C
