Zeit t / s;Spannungsquelle S_1;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
216;1;6;216;828,247368421053;229,997648912922
217;1;0;217;832,263157894737;248,886317063613
218;1;0;218;836,278947368421;256,66401447185
219;1;2;219;840,294736842105;256,664042989783
220;1;2;220;844,31052631579;239,997520025626
221;1;2;221;848,326315789474;244,441918544619
222;1;1;222;852,342105263158;249,997416693361
223;1;1;223;856,357894736842;232,219822617389
224;1;1;224;860,373684210526;247,775217433864
225;1;2;225;864,389473684211;217,775503233633
226;1;4;226;868,405263157895;242,239744675305
227;1;5;227;872,421052631579;238,886420395878
228;1;1;228;876,436842105263;263,33061225034
229;1;1;229;880,452631578947;248,245688758164
230;1;1;230;884,468421052632;230,852197546441
231;1;1;231;888,484210526316;227,224861723161
232;1;3;232;892,5;256,66401447185
233;1;3;233;896,515789473684;233,33089632175
234;1;5;234;900,531578947368;218,886627060409
235;1;3;235;904,547368421053;256,663985953925
236;1;3;236;908,563157894737;258,886213731347
237;1;4;237;912,578947368421;225,553199777691
238;1;3;238;916,594736842105;233,33089632175
239;1;1;239;920,610526315789;252,219615952857
240;1;3;240;924,626315789474;253,330687435042
241;1;3;241;928,642105263158;204,442309158104
242;1;5;242;932,657894736842;249,99738891616
243;1;4;243;936,673684210526;256,663985953925
244;1;4;244;940,689473684211;253,049524233598
245;1;4;245;944,705263157895;237,234767525944
246;1;3;246;948,721052631579;201,108988294012
247;1;3;247;952,736842105263;211,108906195869
248;1;1;248;956,752631578947;253,330687435042
249;1;4;249;960,768421052632;276,663777067217
250,001;1;1;250;964,784210526316;250,551684876933
251;1;4;251;968,8;267,532282228722
252;1;2;252;972,815789473684;228,886472865009
253;1;0;253;976,831578947368;246,664090397278
254;1;2;254;980,847368421053;245,552963607606
255;1;4;255;984,863157894737;224,442100271397
256;1;5;256;988,878947368421;240,840967825533
257;1;5;257;992,894736842105;236,233753298889
258;1;2;258;996,910526315789;242,219692372102
259;1;7;259;1000,92631578947;178,887000637216
260;1;6;260;1004,94210526316;248,886289409866
261;1;4;261;1008,95789473684;275,552646944282
262;1;4;262;1012,97368421053;272,219348795763
263;1;3;263;1016,98947368421;239,997466693407
264;1;2;264;1021,00526315789;226,664274099329
265;1;4;265;1025,02105263158;236,664168544888
266;1;3;266;1029,03684210526;239,997466693407
267;1;0;267;1033,05263157895;224,442075333649
268;1;3;268;1037,06842105263;262,219454350204
269;1;1;269;1041,08421052632;229,997572247849
270,001;1;1;270;1045,1;244,441864224767
271;1;2;271;1049,11578947368;254,441758670325
272;1;2;272;1053,13157894737;256,663928918092
273;1;0;273;1057,14736842105;241,108566076247
274;1;3;274;1061,16315789474;225,553174716489
275;1;3;275;1065,17894736842;231,108645952221
276;1;0;276;1069,19473684211;245,280432670244
277;1;2;277;1073,21052631579;242,239671931409
278;1;2;278;1077,22631578947;246,66403558362
279;1;4;279;1081,24210526316;214,442157061436
280;1;0;280;1085,25789473684;238,886367310567
281;1;5;281;1089,27368421053;248,886234102392
282;1;1;282;1093,28947368421;222,219851877136
283;1;1;283;1097,30526315789;241,108566076247
284;1;0;284;1101,32105263158;229,997546692835
285;1;0;285;1105,33684210526;266,663822252563
286;1;1;286;1109,35263157895;233,330844470992
287;1;4;287;1113,36842105263;239,997440027306
288;1;3;288;1117,38421052632;257,775028177477
289;1;2;289;1121,4;256,663928918092
290;1;3;290;1125,41578947368;226,664248914678
291;1;3;291;1129,43157894737;247,775134843006
292;1;5;292;1133,44736842105;261,108325955634
293;1;2;293;1137,46315789474;236,664115953417
294;1;1;294;1141,47894736842;224,442050395907
295;1;1;295;1145,49473684211;241,108539286692
296;1;3;296;1149,51052631579;241,950807183409
297;1;3;297;1153,52631578947;260,736473646086
298;1;1;298;1157,54210526316;255,508282626629
299;1;3;299;1161,55789473684;276,663715587034
300;1;1;300;1165,57368421053;238,886340767921
;;6;301;1169,58947368421;
;;1;302;1173,60526315789;
;;3;303;1177,62105263158;
;;0;304;1181,63684210526;
;;1;305;1185,65263157895;
;;2;306;1189,66842105263;
;;2;307;1193,68421052632;
;;4;308;1197,7;
;;6;309;1201,71578947368;
;;1;310;1205,73157894737;
;;1;311;1209,74736842105;
;;0;312;1213,76315789474;
;;1;313;1217,77894736842;
;;1;314;1221,79473684211;
;;1;315;1225,81052631579;
;;2;316;1229,82631578947;
;;0;317;1233,84210526316;
;;3;318;1237,85789473684;
;;3;319;1241,87368421053;
