Zeit t / s;Spannungsquelle S_1;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
261;1;19;261;1008,95789473684;151,108626213702
262;1;22;262;1012,97368421053;153,330794856841
263;1;17;263;1016,98947368421;151,108626213702
264;1;14;264;1021,00526315789;161,108461771962
265;1;21;265;1025,02105263158;142,139808715853
266;1;18;266;1029,03684210526;131,108955097183
267;1;14;267;1033,05263157895;146,664238558717
268;1;17;268;1037,06842105263;137,775512136023
269;1;15;269;1041,08421052632;142,219883495249
270;1;5;270;1045,1;152,219719053509
271;1;11;271;1049,11578947368;152,219719053509
272;1;8;272;1053,13157894737;147,775347694282
273;1;18;273;1057,14736842105;148,886440534089
274;1;11;274;1061,16315789474;135,553326456409
275;1;17;275;1065,17894736842;132,220047936989
276,001;1;8;276;1069,19473684211;159,99738670935
277;1;15;277;1073,21052631579;157,775183252542
278;1;10;278;1077,22631578947;155,552997572929
279;1;10;279;1081,24210526316;174,054793779437
280;1;7;280;1085,25789473684;151,148669831646
281;1;8;281;1089,27368421053;139,997697815636
282;1;9;282;1093,28947368421;147,775347694282
283,001;1;12;283;1097,30526315789;131,108969664607
284;1;9;284;1101,32105263158;161,108461771962
285;1;7;285;1105,33684210526;145,553178186978
286;1;8;286;1109,35263157895;163,330665599129
287;1;7;287;1113,36842105263;125,55349089815
288;1;4;288;1117,38421052632;162,219572635869
289;1;8;289;1121,4;139,997697815636
290;1;4;290;1125,41578947368;139,997713370682
291;1;4;291;1129,43157894737;123,331305218536
292;1;5;292;1133,44736842105;128,886783738088
293;1;2;293;1137,46315789474;166,663944488907
294;1;8;294;1141,47894736842;127,775690774828
295;1;3;295;1145,49473684211;161,10847967261
296;1;7;296;1149,51052631579;123,194424775265
297;1;6;297;1153,52631578947;157,154592973108
298;1;7;298;1157,54210526316;134,442248554385
299;1;7;299;1161,55789473684;164,441758562388
300;1;7;300;1165,57368421053;153,160653205769
;;7;301;1169,58947368421;
;;7;302;1173,60526315789;
;;4;303;1177,62105263158;
;;8;304;1181,63684210526;
;;6;305;1185,65263157895;
;;8;306;1189,66842105263;
;;9;307;1193,68421052632;
;;4;308;1197,7;
;;14;309;1201,71578947368;
;;16;310;1205,73157894737;
;;13;311;1209,74736842105;
;;9;312;1213,76315789474;
;;25;313;1217,77894736842;
;;26;314;1221,79473684211;
;;32;315;1225,81052631579;
;;25;316;1229,82631578947;
;;25;317;1233,84210526316;
;;29;318;1237,85789473684;
;;38;319;1241,87368421053;
;;36;320;1245,88947368421;
;;29;321;1249,90526315789;
;;42;322;1253,92105263158;
;;34;323;1257,93684210526;
;;43;324;1261,95263157895;
;;45;325;1265,96842105263;
;;45;326;1269,98421052632;
;;45;327;1274;
;;38;328;1278,01578947368;
;;42;329;1282,03157894737;
;;42;330;1286,04736842105;
;;23;331;1290,06315789474;
;;34;332;1294,07894736842;
;;38;333;1298,09473684211;
;;23;334;1302,11052631579;
;;25;335;1306,12631578947;
;;16;336;1310,14210526316;
;;18;337;1314,15789473684;
;;15;338;1318,17368421053;
;;11;339;1322,18947368421;
;;23;340;1326,20526315789;
;;4;341;1330,22105263158;
;;8;342;1334,23684210526;
;;8;343;1338,25263157895;
;;7;344;1342,26842105263;
;;1;345;1346,28421052632;
;;4;346;1350,3;
;;3;347;1354,31578947368;
;;3;348;1358,33157894737;
;;2;349;1362,34736842105;
;;2;350;1366,36315789474;
;;6;351;1370,37894736842;
;;7;352;1374,39473684211;
;;1;353;1378,41052631579;
;;1;354;1382,42631578947;
;;6;355;1386,44210526316;
;;3;356;1390,45789473684;
;;3;357;1394,47368421053;
;;1;358;1398,48947368421;
;;1;359;1402,50526315789;
;;3;360;1406,52105263158;
;;2;361;1410,53684210526;
;;1;362;1414,55263157895;
;;3;363;1418,56842105263;
;;3;364;1422,58421052632;
;;3;365;1426,6;
;;1;366;1430,61578947368;
;;5;367;1434,63157894737;
;;7;368;1438,64736842105;
;;4;369;1442,66315789474;
;;6;370;1446,67894736842;
;;7;371;1450,69473684211;
;;4;372;1454,71052631579;
;;7;373;1458,72631578947;
;;3;374;1462,74210526316;
;;5;375;1466,75789473684;
;;3;376;1470,77368421053;
;;0;377;1474,78947368421;
;;3;378;1478,80526315789;
;;1;379;1482,82105263158;
;;2;380;1486,83684210526;
;;2;381;1490,85263157895;
;;4;382;1494,86842105263;
;;8;383;1498,88421052632;
;;1;384;1502,9;
;;2;385;1506,91578947368;
;;3;386;1510,93157894737;
;;1;387;1514,94736842105;
;;0;388;1518,96315789474;
;;1;389;1522,97894736842;
;;1;390;1526,99473684211;
;;2;391;1531,01052631579;
;;0;392;1535,02631578947;
;;2;393;1539,04210526316;
;;1;394;1543,05789473684;
;;2;395;1547,07368421053;
;;2;396;1551,08947368421;
;;0;397;1555,10526315789;
;;0;398;1559,12105263158;
;;1;399;1563,13684210526;
;;1;400;1567,15263157895;
;;2;401;1571,16842105263;
;;1;402;1575,18421052632;
;;1;403;1579,2;
;;0;404;1583,21578947368;
;;2;405;1587,23157894737;
;;0;406;1591,24736842105;
;;0;407;1595,26315789474;
;;1;408;1599,27894736842;
;;0;409;1603,29473684211;
;;1;410;1607,31052631579;
;;1;411;1611,32631578947;
;;0;412;1615,34210526316;
;;1;413;1619,35789473684;
;;0;414;1623,37368421053;
;;0;415;1627,38947368421;
;;0;416;1631,40526315789;
;;0;417;1635,42105263158;
;;2;418;1639,43684210526;
;;1;419;1643,45263157895;
;;0;420;1647,46842105263;
;;1;421;1651,48421052632;
;;4;422;1655,5;
;;3;423;1659,51578947368;
;;0;424;1663,53157894737;
;;0;425;1667,54736842105;
;;0;426;1671,56315789474;
;;2;427;1675,57894736842;
;;1;428;1679,59473684211;
;;0;429;1683,61052631579;
;;1;430;1687,62631578947;
;;1;431;1691,64210526316;
;;0;432;1695,65789473684;
;;2;433;1699,67368421053;
;;0;434;1703,68947368421;
;;0;435;1707,70526315789;
;;0;436;1711,72105263158;
;;1;437;1715,73684210526;
;;1;438;1719,75263157895;
;;1;439;1723,76842105263;
;;0;440;1727,78421052632;
;;1;441;1731,8;
;;1;442;1735,81578947368;
;;1;443;1739,83157894737;
;;1;444;1743,84736842105;
;;0;445;1747,86315789474;
;;0;446;1751,87894736842;
;;2;447;1755,89473684211;
;;0;448;1759,91052631579;
;;0;449;1763,92631578947;
;;1;450;1767,94210526316;
;;1;451;1771,95789473684;
;;2;452;1775,97368421053;
;;0;453;1779,98947368421;
;;2;454;1784,00526315789;
;;0;455;1788,02105263158;
;;2;456;1792,03684210526;
