TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.6720e-02,4.1,4.3,0.1,0.104
-1.6713e-02,4.3,3.9,0.1,0.096
-1.6705e-02,4.1,4.3,0.1,0.104
-1.6697e-02,4.3,4.1,0.1,0.096
-1.6690e-02,4.1,4.3,0.1,0.104
-1.6682e-02,4.3,4.1,0.104,0.1
-1.6674e-02,4.3,4.5,0.104,0.108
-1.6667e-02,4.3,4.1,0.104,0.1
-1.6659e-02,4.3,4.5,0.104,0.108
-1.6651e-02,4.3,4.1,0.104,0.1
-1.6644e-02,4.3,4.5,0.104,0.112
-1.6636e-02,4.3,4.1,0.104,0.104
-1.6628e-02,4.3,4.5,0.104,0.108
-1.6621e-02,4.3,4.1,0.104,0.104
-1.6613e-02,4.5,4.5,0.108,0.112
-1.6605e-02,4.3,4.1,0.108,0.104
-1.6598e-02,4.5,4.5,0.108,0.112
-1.6590e-02,4.5,4.3,0.108,0.104
-1.6582e-02,4.5,4.5,0.112,0.116
-1.6575e-02,4.5,4.3,0.112,0.108
-1.6567e-02,4.5,4.7,0.112,0.116
-1.6559e-02,4.5,4.3,0.112,0.108
-1.6551e-02,4.5,4.7,0.112,0.116
-1.6544e-02,4.5,4.3,0.112,0.108
-1.6536e-02,4.5,4.7,0.112,0.116
-1.6528e-02,4.5,4.3,0.116,0.112
-1.6521e-02,4.5,4.7,0.112,0.12
-1.6513e-02,4.5,4.3,0.116,0.112
-1.6505e-02,4.7,4.7,0.116,0.12
-1.6498e-02,4.7,4.3,0.116,0.112
-1.6490e-02,4.7,4.7,0.116,0.12
-1.6482e-02,4.5,4.5,0.116,0.116
-1.6475e-02,4.7,4.9,0.116,0.12
-1.6467e-02,4.7,4.5,0.116,0.116
-1.6459e-02,4.7,4.9,0.12,0.124
-1.6452e-02,4.7,4.5,0.12,0.116
-1.6444e-02,4.7,4.9,0.12,0.124
-1.6436e-02,4.7,4.5,0.12,0.116
-1.6429e-02,4.7,4.9,0.12,0.124
-1.6421e-02,4.7,4.5,0.12,0.12
-1.6413e-02,4.7,4.9,0.124,0.128
-1.6406e-02,4.9,4.5,0.124,0.12
-1.6398e-02,4.9,5.1,0.124,0.128
-1.6390e-02,4.9,4.7,0.124,0.12
-1.6382e-02,4.9,5.1,0.124,0.128
-1.6375e-02,4.9,4.7,0.124,0.12
-1.6367e-02,4.9,5.1,0.128,0.128
-1.6359e-02,4.9,4.7,0.124,0.124
-1.6352e-02,5.1,5.1,0.128,0.132
-1.6344e-02,4.9,4.7,0.128,0.124
-1.6336e-02,5.1,5.1,0.128,0.132
-1.6329e-02,5.1,4.7,0.132,0.124
-1.6321e-02,4.9,5.1,0.128,0.132
-1.6313e-02,5.1,4.7,0.132,0.128
-1.6306e-02,5.1,5.1,0.128,0.136
-1.6298e-02,5.1,4.9,0.132,0.128
-1.6290e-02,5.1,5.3,0.132,0.136
-1.6283e-02,5.1,4.9,0.132,0.128
-1.6275e-02,5.1,5.3,0.132,0.136
-1.6267e-02,5.1,4.9,0.136,0.128
-1.6260e-02,5.3,5.3,0.132,0.136
-1.6252e-02,5.3,4.9,0.132,0.132
-1.6244e-02,5.1,5.3,0.136,0.14
-1.6237e-02,5.3,4.9,0.136,0.132
-1.6229e-02,5.3,5.3,0.136,0.14
-1.6221e-02,5.3,4.9,0.136,0.132
-1.6214e-02,5.3,5.5,0.136,0.14
-1.6206e-02,5.3,5.1,0.136,0.132
-1.6198e-02,5.3,5.5,0.14,0.144
-1.6190e-02,5.3,5.1,0.136,0.136
-1.6183e-02,5.3,5.5,0.14,0.144
-1.6175e-02,5.3,5.1,0.14,0.136
-1.6167e-02,5.5,5.5,0.14,0.144
-1.6160e-02,5.5,5.1,0.14,0.136
-1.6152e-02,5.5,5.5,0.14,0.144
-1.6144e-02,5.5,5.1,0.14,0.136
-1.6137e-02,5.5,5.7,0.144,0.148
-1.6129e-02,5.5,5.3,0.144,0.14
-1.6121e-02,5.5,5.7,0.144,0.148
-1.6114e-02,5.5,5.3,0.144,0.14
-1.6106e-02,5.5,5.7,0.144,0.148
-1.6098e-02,5.7,5.3,0.148,0.14
-1.6091e-02,5.7,5.7,0.148,0.148
-1.6083e-02,5.7,5.3,0.144,0.14
-1.6075e-02,5.7,5.9,0.148,0.152
-1.6068e-02,5.7,5.5,0.148,0.144
-1.6060e-02,5.7,5.9,0.148,0.152
-1.6052e-02,5.7,5.5,0.148,0.144
-1.6045e-02,5.7,5.9,0.148,0.152
-1.6037e-02,5.7,5.5,0.148,0.144
-1.6029e-02,5.9,5.9,0.148,0.152
-1.6022e-02,5.9,5.5,0.152,0.148
-1.6014e-02,5.9,5.9,0.152,0.156
-1.6006e-02,5.9,5.7,0.152,0.148
-1.5998e-02,5.9,6.1,0.152,0.156
-1.5991e-02,5.9,5.7,0.152,0.148
-1.5983e-02,5.9,6.1,0.156,0.156
-1.5975e-02,5.9,5.7,0.156,0.148
-1.5968e-02,6.1,6.1,0.152,0.16
-1.5960e-02,6.1,5.9,0.152,0.152
-1.5952e-02,6.1,6.3,0.156,0.16
-1.5945e-02,6.1,5.9,0.156,0.152
-1.5937e-02,6.1,6.3,0.156,0.16
