t;x;y;vx;vy;x_B;y_B;vx_B;vy_B;
1,967;8,207E-2;2,300E-2;-0,107;-1,221E-2;0,335;-9,518E-2;4,494E-2;-0,121
1,983;8,028E-2;2,281E-2;-0,102;-1,330E-2;0,336;-9,718E-2;4,527E-2;-0,120
2,000;7,867E-2;2,255E-2;-0,103;-1,518E-2;0,336;-9,918E-2;4,276E-2;-0,125
2,017;7,683E-2;2,231E-2;-0,107;-1,176E-2;0,337;-0,101;3,920E-2;-0,126
2,033;7,512E-2;2,216E-2;-0,106;-9,928E-3;0,338;-0,103;4,060E-2;-0,118
2,050;7,328E-2;2,198E-2;-0,105;-1,102E-2;0,338;-0,105;4,419E-2;-0,119
2,067;7,160E-2;2,179E-2;-9,893E-2;-1,137E-2;0,339;-0,107;4,476E-2;-0,125
2,083;6,998E-2;2,160E-2;-0,104;-1,035E-2;0,340;-0,109;4,324E-2;-0,125
2,100;6,814E-2;2,145E-2;-0,104;-1,390E-2;0,341;-0,111;4,409E-2;-0,126
2,117;6,651E-2;2,113E-2;-9,982E-2;-1,745E-2;0,341;-0,114;4,056E-2;-0,128
2,133;6,481E-2;2,087E-2;-0,103;-1,231E-2;0,342;-0,116;3,954E-2;-0,120
2,150;6,307E-2;2,072E-2;-0,105;-1,239E-2;0,343;-0,118;4,435E-2;-0,118
2,167;6,130E-2;2,045E-2;-9,962E-2;-1,137E-2;0,343;-0,120;4,563E-2;-0,125
2,183;5,975E-2;2,034E-2;-9,951E-2;-8,961E-3;0,344;-0,122;4,020E-2;-0,123
2,200;5,799E-2;2,015E-2;-0,104;-1,431E-2;0,345;-0,124;3,707E-2;-0,118
2,217;5,628E-2;1,987E-2;-9,801E-2;-1,493E-2;0,345;-0,126;4,513E-2;-0,120
2,233;5,472E-2;1,966E-2;-9,896E-2;-1,422E-2;0,346;-0,128;4,742E-2;-0,123
2,250;5,298E-2;1,939E-2;-0,104;-1,291E-2;0,347;-0,130;4,544E-2;-0,124
2,267;5,125E-2;1,923E-2;-0,103;-1,282E-2;0,348;-0,132;4,538E-2;-0,128
2,283;4,956E-2;1,897E-2;-9,742E-2;-1,198E-2;0,349;-0,134;3,747E-2;-0,125
2,300;4,800E-2;1,883E-2;-9,722E-2;-1,020E-2;0,349;-0,136;3,720E-2;-0,119
2,317;4,632E-2;1,863E-2;-9,954E-2;-1,149E-2;0,350;-0,138;4,536E-2;-0,122
2,333;4,468E-2;1,844E-2;-9,670E-2;-1,528E-2;0,351;-0,140;4,631E-2;-0,125
2,350;4,309E-2;1,812E-2;-9,681E-2;-1,582E-2;0,351;-0,142;4,628E-2;-0,124
2,367;4,146E-2;1,792E-2;-0,100;-1,060E-2;0,352;-0,144;4,484E-2;-0,127
2,383;3,975E-2;1,776E-2;-9,984E-2;-1,223E-2;0,353;-0,146;3,616E-2;-0,128
2,400;3,813E-2;1,751E-2;-9,872E-2;-1,311E-2;0,353;-0,149;3,706E-2;-0,120
2,417;3,646E-2;1,733E-2;-9,869E-2;-1,060E-2;0,354;-0,150;4,581E-2;-0,120
2,433;3,484E-2;1,716E-2;-0,102;-1,534E-2;0,355;-0,153;4,704E-2;-0,124
2,450;3,306E-2;1,681E-2;-9,887E-2;-1,468E-2;0,356;-0,155;4,604E-2;-0,124
2,467;3,154E-2;1,667E-2;-9,587E-2;-1,260E-2;0,356;-0,157;4,344E-2;-0,127
2,483;2,986E-2;1,639E-2;-9,689E-2;-1,737E-2;0,357;-0,159;3,110E-2;-0,123
2,500;2,831E-2;1,609E-2;-9,298E-2;-1,278E-2;0,357;-0,161;2,877E-2;-0,118
2,517;2,676E-2;1,597E-2;-9,553E-2;-1,248E-2;0,358;-0,163;3,898E-2;-0,123
2,533;2,513E-2;1,567E-2;-9,824E-2;-1,614E-2;0,359;-0,165;4,119E-2;-0,127
2,550;2,349E-2;1,543E-2;-9,608E-2;-1,344E-2;0,359;-0,167;4,334E-2;-0,125
2,567;2,193E-2;1,522E-2;-9,578E-2;-1,362E-2;0,360;-0,169;4,137E-2;-0,126
2,583;2,030E-2;1,498E-2;-9,566E-2;-1,396E-2;0,361;-0,171;2,537E-2;-0,122
2,600;1,874E-2;1,476E-2;-9,439E-2;-1,319E-2;0,361;-0,173;2,770E-2;-0,117
2,617;1,715E-2;1,454E-2;-9,682E-2;-1,743E-2;0,362;-0,175;4,021E-2;-0,124
2,633;1,551E-2;1,418E-2;-9,372E-2;-1,892E-2;0,362;-0,177;4,015E-2;-0,128
2,650;1,403E-2;1,391E-2;-9,106E-2;-1,396E-2;0,363;-0,179;4,334E-2;-0,126
2,667;1,247E-2;1,371E-2;-9,407E-2;-1,466E-2;0,364;-0,181;2,326E-2;-0,118
